user_id,step_name,timestamp,device,region
u0001,Landing Page Visit,2025-03-02 02:46:00,tablet,India
u0001,Free Sign-Up,2025-03-02 03:06:00,tablet,India
u0001,Email Verification,2025-03-02 03:35:00,tablet,India
u0002,Landing Page Visit,2025-03-02 02:50:00,tablet,Brazil
u0002,Free Sign-Up,2025-03-02 02:58:00,tablet,Brazil
u0002,Email Verification,2025-03-02 03:27:00,tablet,Brazil
u0002,Feature Usage,2025-03-02 03:48:00,tablet,Brazil
u0003,Landing Page Visit,2025-03-01 10:01:00,mobile,Brazil
u0003,Free Sign-Up,2025-03-01 10:20:00,mobile,Brazil
u0003,Email Verification,2025-03-01 10:43:00,mobile,Brazil
u0003,Feature Usage,2025-03-01 10:54:00,mobile,Brazil
u0004,Landing Page Visit,2025-03-01 09:27:00,mobile,USA
u0004,Free Sign-Up,2025-03-01 09:48:00,mobile,USA
u0004,Email Verification,2025-03-01 09:52:00,mobile,USA
u0005,Landing Page Visit,2025-03-01 10:10:00,desktop,India
u0005,Free Sign-Up,2025-03-01 10:32:00,desktop,India
u0006,Landing Page Visit,2025-03-01 20:49:00,tablet,Germany
u0006,Free Sign-Up,2025-03-01 21:13:00,tablet,Germany
u0006,Email Verification,2025-03-01 21:25:00,tablet,Germany
u0007,Landing Page Visit,2025-03-01 14:25:00,desktop,India
u0007,Free Sign-Up,2025-03-01 14:53:00,desktop,India
u0007,Email Verification,2025-03-01 15:14:00,desktop,India
u0008,Landing Page Visit,2025-03-01 15:39:00,tablet,USA
u0008,Free Sign-Up,2025-03-01 16:05:00,tablet,USA
u0008,Email Verification,2025-03-01 16:27:00,tablet,USA
u0008,Feature Usage,2025-03-01 16:56:00,tablet,USA
u0008,Upgrade to Paid Plan,2025-03-01 17:08:00,tablet,USA
u0009,Landing Page Visit,2025-03-01 15:54:00,mobile,India
u0009,Free Sign-Up,2025-03-01 16:21:00,mobile,India
u0010,Landing Page Visit,2025-03-01 19:39:00,mobile,Germany
u0010,Free Sign-Up,2025-03-01 19:55:00,mobile,Germany
u0011,Landing Page Visit,2025-03-01 11:09:00,tablet,India
u0011,Free Sign-Up,2025-03-01 11:24:00,tablet,India
u0012,Landing Page Visit,2025-03-02 05:07:00,mobile,UK
u0013,Landing Page Visit,2025-03-02 03:14:00,tablet,Brazil
u0013,Free Sign-Up,2025-03-02 03:19:00,tablet,Brazil
u0014,Landing Page Visit,2025-03-01 18:46:00,mobile,USA
u0014,Free Sign-Up,2025-03-01 19:07:00,mobile,USA
u0014,Email Verification,2025-03-01 19:16:00,mobile,USA
u0014,Feature Usage,2025-03-01 19:23:00,mobile,USA
u0015,Landing Page Visit,2025-03-01 14:27:00,tablet,Germany
u0015,Free Sign-Up,2025-03-01 14:52:00,tablet,Germany
u0016,Landing Page Visit,2025-03-01 08:13:00,tablet,UK
u0016,Free Sign-Up,2025-03-01 08:31:00,tablet,UK
u0017,Landing Page Visit,2025-03-01 20:56:00,tablet,Germany
u0017,Free Sign-Up,2025-03-01 21:22:00,tablet,Germany
u0017,Email Verification,2025-03-01 21:43:00,tablet,Germany
u0017,Feature Usage,2025-03-01 21:45:00,tablet,Germany
u0018,Landing Page Visit,2025-03-01 09:31:00,mobile,Brazil
u0018,Free Sign-Up,2025-03-01 09:46:00,mobile,Brazil
u0019,Landing Page Visit,2025-03-01 16:28:00,mobile,USA
u0019,Free Sign-Up,2025-03-01 16:36:00,mobile,USA
u0019,Email Verification,2025-03-01 16:51:00,mobile,USA
u0019,Feature Usage,2025-03-01 16:54:00,mobile,USA
u0020,Landing Page Visit,2025-03-02 02:24:00,tablet,Germany
u0021,Landing Page Visit,2025-03-02 07:31:00,mobile,India
u0021,Free Sign-Up,2025-03-02 07:33:00,mobile,India
u0021,Email Verification,2025-03-02 07:39:00,mobile,India
u0022,Landing Page Visit,2025-03-02 02:49:00,mobile,Germany
u0022,Free Sign-Up,2025-03-02 02:53:00,mobile,Germany
u0023,Landing Page Visit,2025-03-01 19:42:00,tablet,Germany
u0023,Free Sign-Up,2025-03-01 20:00:00,tablet,Germany
u0023,Email Verification,2025-03-01 20:26:00,tablet,Germany
u0023,Feature Usage,2025-03-01 20:38:00,tablet,Germany
u0024,Landing Page Visit,2025-03-01 11:21:00,tablet,Brazil
u0024,Free Sign-Up,2025-03-01 11:25:00,tablet,Brazil
u0025,Landing Page Visit,2025-03-01 21:35:00,tablet,Brazil
u0025,Free Sign-Up,2025-03-01 21:50:00,tablet,Brazil
u0025,Email Verification,2025-03-01 21:58:00,tablet,Brazil
u0025,Feature Usage,2025-03-01 22:12:00,tablet,Brazil
u0026,Landing Page Visit,2025-03-02 05:15:00,desktop,USA
u0027,Landing Page Visit,2025-03-01 12:55:00,mobile,India
u0027,Free Sign-Up,2025-03-01 13:16:00,mobile,India
u0028,Landing Page Visit,2025-03-01 13:37:00,tablet,USA
u0028,Free Sign-Up,2025-03-01 13:52:00,tablet,USA
u0028,Email Verification,2025-03-01 14:13:00,tablet,USA
u0028,Feature Usage,2025-03-01 14:37:00,tablet,USA
u0029,Landing Page Visit,2025-03-01 11:36:00,desktop,USA
u0029,Free Sign-Up,2025-03-01 12:04:00,desktop,USA
u0030,Landing Page Visit,2025-03-01 14:19:00,tablet,Germany
u0030,Free Sign-Up,2025-03-01 14:32:00,tablet,Germany
u0030,Email Verification,2025-03-01 14:41:00,tablet,Germany
u0031,Landing Page Visit,2025-03-01 08:14:00,desktop,India
u0031,Free Sign-Up,2025-03-01 08:27:00,desktop,India
u0031,Email Verification,2025-03-01 08:28:00,desktop,India
u0032,Landing Page Visit,2025-03-01 16:40:00,tablet,USA
u0032,Free Sign-Up,2025-03-01 17:04:00,tablet,USA
u0032,Email Verification,2025-03-01 17:05:00,tablet,USA
u0032,Feature Usage,2025-03-01 17:17:00,tablet,USA
u0032,Upgrade to Paid Plan,2025-03-01 17:25:00,tablet,USA
u0033,Landing Page Visit,2025-03-02 02:06:00,desktop,India
u0033,Free Sign-Up,2025-03-02 02:17:00,desktop,India
u0033,Email Verification,2025-03-02 02:36:00,desktop,India
u0034,Landing Page Visit,2025-03-01 14:31:00,tablet,Brazil
u0034,Free Sign-Up,2025-03-01 14:34:00,tablet,Brazil
u0034,Email Verification,2025-03-01 14:37:00,tablet,Brazil
u0034,Feature Usage,2025-03-01 14:38:00,tablet,Brazil
u0034,Upgrade to Paid Plan,2025-03-01 15:05:00,tablet,Brazil
u0035,Landing Page Visit,2025-03-01 11:50:00,tablet,UK
u0035,Free Sign-Up,2025-03-01 12:16:00,tablet,UK
u0036,Landing Page Visit,2025-03-02 01:31:00,mobile,India
u0036,Free Sign-Up,2025-03-02 01:38:00,mobile,India
u0037,Landing Page Visit,2025-03-01 20:59:00,mobile,USA
u0037,Free Sign-Up,2025-03-01 21:01:00,mobile,USA
u0037,Email Verification,2025-03-01 21:02:00,mobile,USA
u0037,Feature Usage,2025-03-01 21:18:00,mobile,USA
u0038,Landing Page Visit,2025-03-01 14:46:00,mobile,UK
u0039,Landing Page Visit,2025-03-01 21:24:00,mobile,India
u0039,Free Sign-Up,2025-03-01 21:27:00,mobile,India
u0039,Email Verification,2025-03-01 21:39:00,mobile,India
u0039,Feature Usage,2025-03-01 21:47:00,mobile,India
u0040,Landing Page Visit,2025-03-02 00:00:00,mobile,USA
u0040,Free Sign-Up,2025-03-02 00:03:00,mobile,USA
u0041,Landing Page Visit,2025-03-01 18:42:00,mobile,USA
u0042,Landing Page Visit,2025-03-02 01:08:00,desktop,UK
u0042,Free Sign-Up,2025-03-02 01:34:00,desktop,UK
